Year,Month,Region,County,Beneficiaries, Benefit Amounts (Dollars) 
2008,4,New York City,Richmond,4500,4310000
2008,5,New York City,Bronx,14000,12580000
2008,5,New York City,Kings,22800,21200000
2008,5,New York City,New York,16100,16680000
2008,5,New York City,Queens,18600,18370000
2008,5,New York City,Richmond,3800,3890000
2008,6,New York City,Bronx,13800,14290000
2008,6,New York City,Kings,22800,24170000
2008,6,New York City,New York,16900,19110000
2008,6,New York City,Queens,18600,20470000
2008,6,New York City,Richmond,4000,4470000
2008,7,New York City,Bronx,16200,15520000
2008,7,New York City,Kings,27800,28270000
2008,7,New York City,New York,18600,20770000
2008,7,New York City,Queens,21500,22690000
2008,7,New York City,Richmond,5300,5680000
2008,8,New York City,Bronx,16600,15420000
2008,8,New York City,Kings,28200,27620000
2008,8,New York City,New York,19300,20330000
2008,8,New York City,Queens,21500,21760000
2008,8,New York City,Richmond,5300,5460000
2008,9,New York City,Bronx,17600,17100000
2008,9,New York City,Kings,29900,30120000
2008,9,New York City,New York,20300,23630000
2008,9,New York City,Queens,22800,24550000
2008,9,New York City,Richmond,5500,5490000
2008,10,New York City,Bronx,15600,14460000
2008,10,New York City,Kings,26100,25760000
2008,10,New York City,New York,19300,20720000
2008,10,New York City,Queens,20800,21370000
2008,10,New York City,Richmond,4400,4530000
2008,11,New York City,Bronx,16500,14970000
2008,11,New York City,Kings,27300,26290000
2008,11,New York City,New York,20300,21150000
2008,11,New York City,Queens,22400,22460000
2008,11,New York City,Richmond,4500,4670000
2008,12,New York City,Bronx,20000,21870000
2008,12,New York City,Kings,33800,39060000
2008,12,New York City,New York,24800,31320000
2008,12,New York City,Queens,28200,34060000
2008,12,New York City,Richmond,5800,6980000
2009,1,New York City,Bronx,24100,21620000
2009,1,New York City,Kings,41500,39020000
2009,1,New York City,New York,29200,31710000
2009,1,New York City,Queens,34400,34250000
2009,1,New York City,Richmond,7500,7030000
2009,2,New York City,Bronx,24400,23100000
2009,2,New York City,Kings,42000,41820000
2009,2,New York City,New York,31500,34800000
2009,2,New York City,Queens,36500,37930000
2009,2,New York City,Richmond,7000,7340000
2009,3,New York City,Bronx,26200,29920000
2009,3,New York City,Kings,46100,55120000
2009,3,New York City,New York,34900,45670000
2009,3,New York City,Queens,41200,50760000
2009,3,New York City,Richmond,7600,9450000
2009,4,New York City,Bronx,27200,25670000
2009,4,New York City,Kings,49800,50180000
2009,4,New York City,New York,36100,42020000
2009,4,New York City,Queens,42800,45360000
2009,4,New York City,Richmond,8600,8530000
2009,5,New York City,Bronx,25700,24570000
2009,5,New York City,Kings,46800,47910000
2009,5,New York City,New York,36100,40860000
2009,5,New York City,Queens,40900,43180000
2009,5,New York City,Richmond,7400,7970000
2009,6,New York City,Bronx,26300,29840000
2009,6,New York City,Kings,48000,56810000
2009,6,New York City,New York,36800,47940000
2009,6,New York City,Queens,41000,50550000
2009,6,New York City,Richmond,7700,9600000
2009,7,New York City,Bronx,27900,26740000
2009,7,New York City,Kings,50700,52170000
2009,7,New York City,New York,36800,42430000
2009,7,New York City,Queens,41600,44230000
2009,7,New York City,Richmond,8600,9230000
2009,8,New York City,Bronx,27400,29460000
2009,8,New York City,Kings,49300,55290000
2009,8,New York City,New York,35500,42390000
2009,8,New York City,Queens,40200,46130000
2009,8,New York City,Richmond,8400,9850000
2009,9,New York City,Bronx,26100,24170000
2009,9,New York City,Kings,46800,46360000
2009,9,New York City,New York,32600,37110000
2009,9,New York City,Queens,37900,39150000
2009,9,New York City,Richmond,7900,7880000
2009,10,New York City,Bronx,22500,21200000
2009,10,New York City,Kings,39500,39360000
2009,10,New York City,New York,28500,30830000
2009,10,New York City,Queens,32400,33410000
2009,10,New York City,Richmond,6200,6470000
2009,11,New York City,Bronx,22900,23750000
2009,11,New York City,Kings,38800,42100000
2009,11,New York City,New York,27100,30990000
2009,11,New York City,Queens,31800,35870000
2009,11,New York City,Richmond,6200,7150000
2009,12,New York City,Bronx,23400,22910000
2009,12,New York City,Kings,39300,41190000
2009,12,New York City,New York,26700,30340000
2009,12,New York City,Queens,32700,35490000
2009,12,New York City,Richmond,6500,7140000
2010,1,New York City,Bronx,26200,22660000
2010,1,New York City,Kings,44000,40110000
2010,1,New York City,New York,27900,28090000
2010,1,New York City,Queens,36300,34630000
2010,1,New York City,Richmond,8000,7200000
2010,2,New York City,Bronx,23900,22020000
2010,2,New York City,Kings,39700,38400000
2010,2,New York City,New York,26000,27020000
2010,2,New York City,Queens,33700,33840000
2010,2,New York City,Richmond,6900,7030000
2010,3,New York City,Bronx,23700,26100000
2010,3,New York City,Kings,39500,44950000
2010,3,New York City,New York,25800,31350000
2010,3,New York City,Queens,34000,40410000
2010,3,New York City,Richmond,6800,8290000
2010,4,New York City,Bronx,24000,20730000
2010,4,New York City,Kings,40700,37060000
2010,4,New York City,New York,24600,25250000
2010,4,New York City,Queens,33600,32110000
2010,4,New York City,Richmond,7300,6680000
2010,5,New York City,Bronx,20600,18650000
2010,5,New York City,Kings,34600,33420000
2010,5,New York City,New York,22800,23190000
2010,5,New York City,Queens,29100,29120000
2010,5,New York City,Richmond,5900,6050000
2010,6,New York City,Bronx,21300,23060000
2010,6,New York City,Kings,35600,40890000
2010,6,New York City,New York,23700,28490000
